node,adap_betweenness,adap_degree,betweenness,degree,random,seamless_mavg
50,0.670074074074074,0.44266666666666665,0.6444444444444445,0.5185185185185185,0.5077777777777778,0.46961111111111115
51,0.15207407407407408,0.14859259259259258,0.37777777777777777,0.25925925925925924,0.5425925925925926,0.16486296296296296
52,0.6424444444444445,0.6664444444444445,0.7481481481481482,0.7703703703703704,0.4851111111111111,0.6708814814814814
53,0.7073333333333334,0.5601481481481482,0.41481481481481486,0.26666666666666666,0.5202962962962963,0.4878000000000001
54,0.6446666666666667,0.6341481481481481,0.6074074074074074,0.5259259259259259,0.4652592592592593,0.6448592592592592
55,0.6938518518518519,0.634,0.6222222222222222,0.5333333333333333,0.5186666666666666,0.5692777777777779
56,0.05185185185185186,0.24962962962962967,0.17777777777777778,0.2740740740740741,0.5094814814814815,0.2415111111111111
57,0.10370370370370371,0.4607407407407408,0.24444444444444446,0.2814814814814815,0.5397777777777778,0.40713333333333335
58,0.4144444444444445,0.4003703703703704,0.4814814814814815,0.5407407407407407,0.4865185185185186,0.4241259259259259
59,0.6611111111111111,0.738,0.7555555555555555,0.7777777777777778,0.4885925925925926,0.7279555555555556
60,0.6654074074074074,0.5578518518518519,0.2,0.2888888888888889,0.4754074074074075,0.5218962962962963
61,0.6697037037037037,0.7262222222222223,0.5925925925925926,0.5481481481481482,0.5211851851851852,0.6969370370370371
62,0.4295555555555556,0.4080740740740741,0.48888888888888893,0.5555555555555556,0.48525925925925933,0.4048370370370371
63,0.2751851851851852,0.1754074074074074,0.33333333333333337,0.2962962962962963,0.46985185185185185,0.19023703703703707
64,0.05925925925925926,0.05525925925925926,0.14814814814814814,0.06666666666666667,0.4696296296296296,0.06803333333333333
65,0.6357037037037037,0.3935555555555556,0.3703703703703704,0.10370370370370371,0.5191111111111111,0.45776666666666666
66,0.6343703703703704,0.6619259259259259,0.044444444444444446,0.562962962962963,0.487925925925926,0.6350518518518519
67,0.007407407407407408,0.14533333333333334,0.007407407407407408,0.11111111111111112,0.518962962962963,0.17189259259259262
68,0.6149629629629629,0.7123703703703704,0.35555555555555557,0.5703703703703704,0.4764444444444444,0.7013296296296299
69,0.0962962962962963,0.07666666666666666,0.14074074074074075,0.11851851851851852,0.506,0.09430370370370371
70,0.6492592592592593,0.5871851851851851,0.762962962962963,0.7851851851851852,0.486,0.5854444444444444
71,0.6388148148148148,0.33814814814814814,0.17037037037037037,0.3037037037037037,0.5331851851851852,0.35171851851851854
72,0.6571111111111111,0.3965925925925926,0.6148148148148148,0.3111111111111111,0.48185185185185186,0.4523296296296297
73,0.2000740740740741,0.14866666666666667,0.34074074074074073,0.31851851851851853,0.5016296296296296,0.16314074074074075
74,0.686,0.5714074074074075,0.3851851851851852,0.32592592592592595,0.5134814814814814,0.2791370370370371
75,0.12592592592592594,0.3328888888888889,0.42962962962962964,0.33333333333333337,0.4728148148148148,0.3185925925925926
76,0.11851851851851852,0.2883703703703704,0.11851851851851852,0.34074074074074073,0.518962962962963,0.2829185185185185
77,0.6832592592592592,0.6667407407407409,0.7703703703703704,0.7925925925925926,0.40874074074074074,0.6466185185185186
78,0.6713333333333333,0.7257777777777779,0.7777777777777778,0.8,0.5473333333333333,0.7211999999999998
79,0.6432592592592593,0.6554814814814814,0.7851851851851852,0.8074074074074075,0.5393333333333333,0.639174074074074
80,0.6260740740740741,0.5504444444444445,0.5185185185185185,0.5777777777777778,0.5331851851851852,0.5646592592592594
81,0.07407407407407407,0.055851851851851854,0.022222222222222223,0.07407407407407407,0.5065925925925926,0.07085185185185187
82,0.6751111111111111,0.7369629629629629,0.7925925925925926,0.8148148148148149,0.4915555555555556,0.721062962962963
83,0.6197777777777778,0.7582962962962964,0.8,0.8222222222222223,0.46370370370370373,0.7040074074074075
84,0.2762222222222222,0.2677037037037037,0.34814814814814815,0.34814814814814815,0.43651851851851853,0.2713740740740741
85,0.6597037037037038,0.7442962962962963,0.2814814814814815,0.5851851851851853,0.454,0.7191814814814815
86,0.6859259259259259,0.332,0.4,0.35555555555555557,0.48481481481481487,0.35193703703703705
87,0.40829629629629627,0.4311851851851852,0.43703703703703706,0.5925925925925926,0.4736296296296296,0.39982962962962965
88,0.6640740740740741,0.7232592592592593,0.8074074074074075,0.6,0.5204444444444445,0.6938592592592594
89,0.4531851851851852,0.4020740740740741,0.5407407407407407,0.6074074074074074,0.5345925925925926,0.4103481481481482
90,0.6296296296296297,0.6754814814814815,0.8148148148148149,0.8296296296296297,0.4874814814814815,0.6507851851851852
91,0.6920000000000001,0.7394814814814815,0.8222222222222223,0.837037037037037,0.49148148148148146,0.7194851851851852
92,0.6346666666666667,0.5687407407407408,0.4962962962962963,0.6148148148148148,0.48718518518518517,0.5378111111111111
