node,adap_degree,betweenness,degree,random,seamless_mavg
65,0.706434749388753,0.7301650366748166,0.7406479217603912,0.4915173441320293,0.7075713516198043
66,0.7155409535452322,0.7301726772616136,0.7406555623471882,0.5139412438875306,0.7237902582518336
67,0.12032762836185817,0.34119804400977993,0.07295996332518337,0.4912402964547677,0.17419908312958438
68,0.0488656020782396,0.1597035452322738,0.026466992665036673,0.5145792328850856,0.07170971500611246
69,0.7157792634474327,0.7301803178484106,0.7406632029339852,0.49497264669926644,0.7276381570904646
70,0.5740555470660146,0.6122172982885085,0.34260391198044005,0.5176519712713935,0.5622076329462102
71,0.5482010238386308,0.7301879584352078,0.7406708435207823,0.44548632334963323,0.5721463669009779
72,0.7172988233496332,0.7301955990220048,0.7406784841075794,0.5116289731051344,0.7183034344437652
73,0.12540640281173593,0.26657243276283615,0.07296760391198043,0.4923113539119804,0.15870603224327626
74,0.7370582976772616,0.2428866136919315,0.34261155256723713,0.4963308374083129,0.6780038088325184
75,0.7518333588019559,0.7302032396088018,0.7406861246943764,0.470593673594132,0.7293883404645477
76,0.04772073655256723,0.16631265281173593,0.041029951100244495,0.5062623013447433,0.08162500382029339
77,0.7471855898533006,0.730210880195599,0.7406937652811735,0.4931219437652811,0.6942009779951099
78,0.7119119040342298,0.2959352078239609,0.0729752444987775,0.5419948808068459,0.6370949610330072
79,0.27087996638141804,0.20433221271393642,0.07298288508557456,0.49355050427872854,0.2819733076100245
80,0.7407659688264058,0.730218520782396,0.7407014058679706,0.46397639058679707,0.726246309596577
81,0.7206071210268947,0.730226161369193,0.7407090464547677,0.48769934290953537,0.7242199419315403
82,0.7402786522004889,0.7302338019559902,0.7407166870415647,0.5693124999999999,0.7191472761308069
83,0.6776793245721271,0.0163661369193154,0.07299052567237163,0.48792168398533003,0.6768544086185818
84,0.562806998777506,0.4814180929095354,0.3426191931540342,0.5106392114914425,0.5174288470354523
85,0.003093444376528117,0.015151283618581906,0.002689486552567237,0.552955302567237,0.020271519712713938
86,0.6501750458435207,0.40602842298288505,0.34262683374083125,0.4917648227383863,0.6489647234107578
87,0.006665877139364302,0.01581601466992665,0.0040189486552567235,0.4952768948655256,0.023966033771393648
88,0.7420758710268948,0.7302414425427872,0.7407243276283618,0.5362431998777505,0.7248731089547678
89,0.5801277506112469,0.7302490831295843,0.7407319682151589,0.5306750458435208,0.6008522463325183
90,0.11881914731051343,0.34120568459657696,0.0729981662591687,0.514281097188264,0.17770110024449876
91,0.2731784077017114,0.6122249388753056,0.34263447432762834,0.4651878820293398,0.32171800122249383
92,0.7339563722493887,0.49457518337408307,0.3426421149144254,0.5232437347188263,0.6505334313875306
93,0.3690106204156479,0.5804630195599021,0.34264975550122245,0.5234281020782396,0.3840312920232273
94,0.19122616136919313,0.4611246943765281,0.07300580684596576,0.47640877139364296,0.20749480440097798
95,0.7049792940097799,0.7302567237163814,0.7407396088019559,0.507642802567237,0.7096959008251833
96,0.12664952628361856,0.30769407090464546,0.07301344743276283,0.4771819223716381,0.17875459963325185
97,0.6889650061124694,0.41245415647921757,0.34265739608801954,0.508486934596577,0.6262736476161368
98,0.7131559443765281,0.22593215158924204,0.0730210880195599,0.5061384474327627,0.6033477689486552
99,0.7226011613691931,0.7302643643031784,0.740747249388753,0.5537493887530562,0.7205180699877749
100,0.34471462408312953,0.5039119804400978,0.34266503667481657,0.5158238080684596,0.40438246485330065
101,0.508526054400978,0.635314792176039,0.34267267726161366,0.4508121179706601,0.4925134588936431
102,0.35184917481662586,0.3969055623471882,0.34268031784841074,0.45284367359413197,0.40753456219437656
103,0.6750091687041564,0.34287897310513443,0.3426879584352078,0.4571180470660146,0.6333947967603912
104,0.7432492359413203,0.7302720048899755,0.7407548899755501,0.5031515892420537,0.7137118925733495
105,0.7012235635696821,0.7302796454767726,0.7407625305623471,0.49864196210268946,0.6894031326405867
106,0.4062972952322738,0.6122325794621026,0.34269559902200486,0.5371097188264058,0.39648136842909537
107,0.39709382640586793,0.49458282396088016,0.34270323960880195,0.49076894865525666,0.4051764058679706
108,0.5348040189486551,0.7260696821515892,0.342710880195599,0.5486252292176039,0.5461418704156479
109,0.12463111246943763,0.4611323349633251,0.07302872860635697,0.5111888753056234,0.1620277735330073
110,0.5718667481662592,0.5804706601466992,0.34271852078239606,0.5088785910757946,0.5394585574572127
111,0.549981662591687,0.7302872860635696,0.7407701711491442,0.5286156020782397,0.5919305470660146
112,0.1750061888753056,0.14052567237163813,0.04103759168704156,0.4327279951100244,0.19119229446821517
113,0.7115275061124694,0.7302949266503667,0.7407778117359413,0.4712519101466992,0.7181630921454767
114,0.7145833588019559,0.40888600244498774,0.34272616136919315,0.5186680165036675,0.7257973792787284
