label,protocol,m,removed,p,mean_S1_over_N,sd_S1_over_N,sem_S1_over_N,mean_S2_over_N,sd_S2_over_N,sem_S2_over_N,n
EU Power Grid,adap_degree,,2340,0.0178789731051344,0.22751505195599017,0.0253303567946563,0.002533035679465629,0.130877444987775,0.008759219303031212,0.0008759219303031219,100
EU Power Grid,adap_degree,,2470,0.018872249388753,0.1922792634474327,0.02938956587372936,0.0029389565873729354,0.120953010391198,0.005955898563980253,0.0005955898563980254,100
EU Power Grid,adap_degree,,2600,0.0198655256723716,0.15731746638141803,0.028876457089967254,0.0028876457089967254,0.11247119498777501,0.007218901097806514,0.0007218901097806511,100
EU Power Grid,adap_degree,,2730,0.0208588019559902,0.1316003973105134,0.021234393066600642,0.002123439306660064,0.10292038508557452,0.00924494919887238,0.0009244949198872379,100
EU Power Grid,adap_degree,,2860,0.0218520782396088,0.1123243429095354,0.013390123170587161,0.0013390123170587162,0.09224128973105129,0.010062706309706966,0.0010062706309706968,100
EU Power Grid,adap_degree,,2990,0.0228453545232273,0.1007696363080684,0.0030678909839131786,0.0003067890983913178,0.08110864914425424,0.007137191218579713,0.0007137191218579712,100
EU Power Grid,adap_degree,,3120,0.0238386308068459,0.09530921454767721,0.002161827791151201,0.00021618277911512017,0.07046645782396083,0.00699259393834801,0.0006992593938348012,100
EU Power Grid,adap_degree,,3250,0.0248319070904645,0.08846897921760385,0.006622509329198892,0.0006622509329198891,0.06043100550122245,0.01052737215800319,0.0010527372158003192,100
EU Power Grid,adap_degree,,3380,0.0258251833740831,0.0818027200488997,0.00901154255614222,0.000901154255614222,0.05454561430317843,0.0095748833529912,0.0009574883352991201,100
EU Power Grid,adap_degree,,3510,0.0268184596577017,0.07327192848410753,0.009667709840111031,0.0009667709840111029,0.04991847493887525,0.007933280512800685,0.0007933280512800685,100
EU Power Grid,adap_degree,,3640,0.0278117359413202,0.06691022310513442,0.008257678898728903,0.0008257678898728899,0.04537316625916866,0.006493621646100128,0.000649362164610013,100
EU Power Grid,adap_degree,,3770,0.0288050122249388,0.060726161369193093,0.007446171277474081,0.0007446171277474082,0.04189975550122244,0.005634341299361253,0.0005634341299361255,100
EU Power Grid,adap_degree,,3900,0.0297982885085574,0.055211109413202876,0.005603846622745754,0.0005603846622745754,0.03852345660146694,0.005020965847281144,0.0005020965847281145,100
EU Power Grid,adap_degree,,4030,0.030791564792176,0.0516516656479217,0.004893642652234889,0.000489364265223489,0.03545812958435202,0.0054187994241090805,0.000541879942410908,100
EU Power Grid,adap_degree,,4160,0.0317848410757946,0.048833893643031735,0.003975787455289018,0.0003975787455289019,0.031503285452322685,0.00594602087643192,0.000594602087643192,100
EU Power Grid,adap_degree,,4290,0.0327781173594132,0.04581334046454763,0.0030272592375230716,0.0003027259237523071,0.026666259168704114,0.006652986384871286,0.0006652986384871288,100
EU Power Grid,adap_degree,,4420,0.0337713936430317,0.0431834504889975,0.0022603723490788596,0.00022603723490788593,0.02242153117359408,0.005597551073597456,0.0005597551073597455,100
EU Power Grid,adap_degree,,4550,0.0347646699266503,0.040885544009779895,0.0014218147493003784,0.00014218147493003783,0.01911506723716376,0.00363226209676782,0.00036322620967678187,100
EU Power Grid,adap_degree,,4680,0.0357579462102689,0.03916878056234714,0.0008604894002740261,8.604894002740263e-05,0.016916411980440037,0.00042615078686875085,4.261507868687509e-05,100
EU Power Grid,adap_degree,,4810,0.0367512224938875,0.0379467451100244,0.0014412677195879946,0.00014412677195879952,0.015900443154034175,0.0013944159711515153,0.0001394415971151515,100
EU Power Grid,adap_degree,,4940,0.0377444987775061,0.03687782701711487,0.0019957333783782866,0.00019957333783782858,0.015071592298288456,0.0016764732862626192,0.00016764732862626193,100
EU Power Grid,adap_degree,,5070,0.0387377750611246,0.03563921149144249,0.002139342919351421,0.0002139342919351422,0.01415288814180924,0.001833077966153918,0.00018330779661539172,100
EU Power Grid,adap_degree,,5200,0.0397310513447432,0.034429400977995066,0.0023501090476065398,0.0002350109047606539,0.013303636919315347,0.0019597635759393867,0.00019597635759393872,100
EU Power Grid,adap_degree,,5330,0.0407243276283618,0.03281700794621022,0.0029475271134371556,0.0002947527113437156,0.01269880806845961,0.002245193722917095,0.00022451937229170954,100
EU Power Grid,adap_degree,,5460,0.0417176039119804,0.03139990831295839,0.0031785081846870495,0.000317850818468705,0.012032548899755453,0.002089429010639243,0.0002089429010639243,100
EU Power Grid,adap_degree,,5590,0.042710880195599,0.029690327017114857,0.0035605352517067185,0.0003560535251706718,0.011312882029339803,0.0021692535936113566,0.00021692535936113566,100
EU Power Grid,adap_degree,,5720,0.0437041564792176,0.02794712713936425,0.004138504220551448,0.0004138504220551449,0.010770018337408259,0.0020612038070389697,0.00020612038070389697,100
EU Power Grid,adap_degree,,5850,0.0446974327628361,0.026459810513447382,0.004373405234841301,0.0004373405234841301,0.010036369193153982,0.0018837978331433763,0.0001883797833143376,100
EU Power Grid,adap_degree,,5980,0.0456907090464547,0.02472150061124689,0.004291772882370116,0.0004291772882370116,0.009459122860635643,0.0018152096158696493,0.0001815209615869649,100
EU Power Grid,adap_degree,,6110,0.0466839853300733,0.023015204767726116,0.004164421473805265,0.0004164421473805264,0.00893650672371633,0.001732182250460285,0.00017321822504602846,100
EU Power Grid,adap_degree,,6240,0.0476772616136919,0.02168490220048895,0.004137717504292693,0.00041377175042926924,0.008274755501222447,0.0017203689992191535,0.0001720368999219154,100
EU Power Grid,adap_degree,,6370,0.0486705378973105,0.019940709046454716,0.0040413132421880365,0.00040413132421880367,0.007791029951100196,0.001509800876017487,0.00015098008760174868,100
EU Power Grid,adap_degree,,6500,0.049663814180929,0.01792283007334958,0.0038749030584555046,0.0003874903058455504,0.007549052567237112,0.0014367948046087584,0.00014367948046087586,100
EU Power Grid,adap_degree,,6630,0.0506570904645476,0.0163581907090464,0.003462664387074442,0.00034626643870744404,0.00699434596577012,0.0014430127667292892,0.0001443012766729289,100
EU Power Grid,adap_degree,,6760,0.0516503667481662,0.015090922982885037,0.003266294371150909,0.00032662943711509097,0.006581601466992614,0.0014680225446906394,0.00014680225446906395,100
EU Power Grid,adap_degree,,6890,0.0526436430317848,0.013503056234718775,0.0030441998820801125,0.00030441998820801124,0.006110177261613646,0.0014104251806967547,0.00014104251806967548,100
EU Power Grid,adap_degree,,7020,0.0536369193154034,0.012217985941320241,0.002460676636941777,0.0002460676636941777,0.005628438264058632,0.0012947101405951286,0.00012947101405951284,100
EU Power Grid,adap_degree,,7150,0.054630195599022,0.011280867970660101,0.0020987578950950867,0.00020987578950950868,0.005241060513447383,0.0012527735514750787,0.0001252773551475079,100
EU Power Grid,adap_degree,,7280,0.0556234718826405,0.010404187041564743,0.0018434106164615157,0.00018434106164615165,0.004804935819070856,0.0011230167004620804,0.00011230167004620809,100
EU Power Grid,adap_degree,,7410,0.0566167481662591,0.009567924816625871,0.0014535874731950243,0.0001453587473195025,0.004335116136919271,0.0009377295077825017,9.377295077825017e-05,100
EU Power Grid,adap_degree,,7540,0.0576100244498777,0.008791106356968162,0.0011691972511076976,0.00011691972511076979,0.004025290342298245,0.0007534785040308902,7.534785040308901e-05,100
EU Power Grid,adap_degree,,7670,0.0586033007334963,0.008052338019559851,0.0007309449484892245,7.309449484892245e-05,0.003777200488997521,0.0005323418695142268,5.323418695142268e-05,100
EU Power Grid,adap_degree,,7800,0.0595965770171149,0.007445369804400925,0.0008705239948786065,8.705239948786062e-05,0.003512377750611209,0.00021147881492172976,2.1147881492172972e-05,100
EU Power Grid,adap_degree,,7930,0.0605898533007334,0.006886842909535404,0.001277122149069742,0.0001277122149069742,0.003354064792175991,0.0002955477362987487,2.9554773629874858e-05,100
EU Power Grid,adap_degree,,8060,0.061583129584352,0.006525748777506065,0.0013374226495637819,0.00013374226495637822,0.003216457823960834,0.0002972873855780819,2.9728738557808197e-05,100
EU Power Grid,adap_degree,,8190,0.0625764058679706,0.005977765892420489,0.001525447634795841,0.0001525447634795841,0.003134550733496289,0.00029077533798185,2.907753379818501e-05,100
EU Power Grid,adap_degree,,8320,0.0635696821515892,0.005674587408312909,0.0014645445311257277,0.00014645445311257276,0.003034077017114873,0.00027254022750198073,2.7254022750198078e-05,100
EU Power Grid,adap_degree,,8450,0.0645629584352078,0.0053081448655256215,0.0014587637750928721,0.0001458763775092872,0.002951711491442498,0.0002560667739853374,2.5606677398533742e-05,100
EU Power Grid,adap_degree,,8580,0.0655562347188264,0.005005654034229783,0.0014139742665955166,0.0001413974266595517,0.002883251833740786,0.00025305452711107674,2.530545271110767e-05,100
