node,original_id,lat,lon,degree,betweenness,community_id,adap_degree_frac,betweenness_frac,random_frac,seamless_mavg,adap_betweenness_frac,regression_residual
86,86,25.7529461,-80.3835745,2,2.2822342574452346e-08,6,0.3394324760632375,0.6633823201959475,0.4928799265197061,0.4085273533177466,0.5362356657759965,-0.13586090358503777
87,87,48.8332452,-95.3290764,5,0.000485987714533,0,0.0373570752616343,0.0627644177243375,0.5148146292585171,0.0684245991983968,0.0625974170563349,-0.16531375412834234
88,88,42.9296759,-72.2860423,3,0.0001016764452344,53,0.1481923569360944,0.2583639501224671,0.5404124916499666,0.296497411489646,0.1689789300823869,-0.14447030157232937
89,89,31.4010081,-86.4772449,4,0.0006976101079838,22,0.0603089512358049,0.0461617679804052,0.5544976063237587,0.1372145471498553,0.1220197339122689,-0.20121974780350446
90,90,35.8080305,-80.8972522,3,8.34999466024973e-05,8,0.2384802939211757,0.2908873302159875,0.5333781451792474,0.2610870073480293,0.3033578267646404,-0.17942126167327577
91,91,36.1622759,-85.5356358,8,0.0008045724763964,43,0.0113407370296147,0.0411099977733244,0.4701824482297929,0.0292184647071921,0.0529475617902471,0.10663974973492148
92,92,30.2214806,-93.2818697,1,0.0,61,0.7347931975061234,0.6905755956357159,0.5291459307503896,0.7138669422177689,0.6961560621242485,0.06537241491765933
93,93,34.162577,-84.8296069,2,2.7862949070917313e-05,51,0.4314675183700734,0.4970774883099532,0.5063026052104208,0.4982657954798486,0.3742391727900245,-0.04635164308120676
94,94,31.6997202,-87.7896253,3,0.0002773921493957,55,0.244331023157426,0.1062402582943665,0.4787449899799599,0.2707066911600979,0.3604336450679136,-0.1705557327754852
95,95,41.9744021,-73.7987774,3,8.234701479572338e-07,31,0.2314325873970162,0.6333917835671343,0.4916531674460032,0.2734510827209975,0.19812458249833,-0.1669802611156384
96,96,45.473904,-98.515721,3,2.8098989921420837e-05,72,0.2445049821865954,0.4837870184814072,0.441814462257849,0.3089670173680695,0.4775708361166778,-0.1316237861768686
97,97,37.7619915,-83.3466212,4,6.382586319979346e-05,43,0.0598530394121576,0.3431446225784903,0.5730387163215319,0.0976869294143843,0.0554742818971275,-0.23893398004928407
98,98,39.1880434,-78.2067266,2,1.335582574714556e-05,20,0.2815425295034514,0.5993375640169227,0.5152541193498107,0.3318561706746827,0.4615348753061679,-0.21269043887837719
99,99,34.430463,-83.139425,2,2.200423187061967e-05,51,0.7540579770652416,0.5735081273658428,0.5204573034958807,0.7181718436873747,0.4932083611667781,0.17357160129743776
100,100,33.6627254,-83.9954636,3,5.550700487479325e-05,51,0.1453018537074148,0.4006763527054108,0.5005497105321755,0.178797142896905,0.2417213593854375,-0.26184733703372487
101,101,35.9450329,-84.3885643,9,0.023157889746789,58,0.0240173402360276,0.0041332665330661,0.4690124693832109,0.046170939100423,0.0163007960365174,0.16196551157866967
102,102,36.2131088,-95.2776098,10,0.001991038381471,37,0.0060899576931641,0.0202209975506568,0.4301586506346025,0.0224817482186595,0.0334364562458249,0.3044629211323035
103,103,33.165028,-86.774347,3,9.697245608280936e-05,52,0.4854740035626809,0.2664217323535961,0.497606602093075,0.4247123900578935,0.4287113115119127,-0.01597165392924632
104,104,42.0493723,-87.8965674,4,0.0002270924589813,39,0.6102304609218437,0.1260437541750167,0.521580522155422,0.5438369029726119,0.2355252171008684,0.20665998957950382
105,105,41.7160861,-71.1567698,2,2.7833832022823745e-05,53,0.2781983411266979,0.5143203072812291,0.4819555778223113,0.3144822144288577,0.4045330939657092,-0.23032285790425533
106,106,44.5223847,-73.4673901,3,5.568355252798857e-05,24,0.1544462536183478,0.3640892896904921,0.5116608216432866,0.1896818985192607,0.2375032008461367,-0.2508695232515357
107,107,34.439606,-84.302029,2,1.1679901707600092e-06,51,0.7195990592295703,0.6311790247160989,0.4663788688488088,0.6925717059118236,0.6709075094633713,0.14803262086495117
108,108,42.8289897,-71.4863326,1,0.0,19,0.7272392006234691,0.6905895123580494,0.5224745323981296,0.7334238755288355,0.7030523547094188,0.0849034573154911
109,109,43.6462909,-95.9531091,3,0.0001999752643626,64,0.4974351480739256,0.1413799821865954,0.4904446392785571,0.493913925072367,0.4992736862614117,0.05292626848422799
110,110,38.239463,-85.742896,3,0.0001499602049239,43,0.1529890336228011,0.1852315742596303,0.5041733466933868,0.201515106602093,0.1689307782231129,-0.23941271732679967
111,111,31.3208988,-92.4618186,1,0.0,61,0.7393562124248497,0.690603429080383,0.4996806112224449,0.7228816243598307,0.7103186929414385,0.07438709705972113
112,112,33.8237217,-87.2828781,1,0.0,52,0.6815617345802717,0.6906173458027166,0.4652791694500111,0.6855952182142062,0.7153572422623024,0.037087606466293166
113,113,33.811386,-87.281889,3,0.0002358988265481,52,0.2908064740592295,0.1225784903139612,0.4850608160765976,0.2829610470941883,0.3711095802716544,-0.1581307656173519
114,114,36.4058349,-97.759779,5,0.0001598283527054,104,0.0601118904475617,0.1771459585838343,0.5016601258071699,0.0908381554776219,0.1286150077933645,-0.14192892520703743
115,115,35.8192231,-96.3546435,3,0.0001642106030871,37,0.2144866121131151,0.1739172790024493,0.4683489200623469,0.2935415274994433,0.2471167334669338,-0.14749398449520573
