node,original_id,lat,lon,community_id,seamless_mavg,degree,betweenness
32487,ESP.5_1_1257,41.6047664,-5.019838517354258,41,0.29559472799511,2,1.528129035215734e-05
15775,CZE_454,50.58095320000001,13.7969362,28,0.2956268643031784,2,9.790581163145771e-06
71270,NOR.7_1_126,60.55442319999999,6.0228844067422385,12,0.2956292214242053,2,1.5281290352157337e-05
2951,BGR_483,42.742800900000006,23.52605841143132,5,0.2957297906479217,2,1.5281290352157337e-05
36939,FRA.10_1_1514,46.11606725000001,1.0514344690489688,54,0.295771894101467,2,1.5281290352157337e-05
8652,BUFFER_0656_19,54.884473,12.12014373035,15,0.2958467107273838,2,1.5281290352157337e-05
36348,FIN.5.4_1_140,62.35136455,21.38069076952347,53,0.2958745874083129,2,1.5281290352157334e-05
128828,UKR.6_1_6,48.4731936,38.2073665,192,0.2960986972799511,2,1.5281290352157337e-05
7394,BUFFER_0488_48,54.8283844,1.9274252000000005,71,0.296120102383863,2,1.5281290352157337e-05
44798,FRA.6_1_334,47.79841395,7.256978430381619,34,0.2961565136002445,2,1.5281290352157334e-05
29607,ESP.17_1_313,43.4776144,-5.6651454,42,0.2961663775977995,2,1.528129035215734e-05
27787,DNK_938,56.3308229,10.540648499999998,14,0.2961761575488998,2,1.5281290352157337e-05
70733,NOR.1_1_70,59.8432694,10.665428599999998,108,0.2962463783618582,2,1.5281290352157337e-05
14798,CZE_2046,49.6800868,14.0690456,26,0.2962868925733496,2,1.5281290352157337e-05
37758,FRA.10_1_708,44.854427599999994,-0.5200392999999999,54,0.2963167023227384,2,1.5281290352157334e-05
1484,AUT_825,46.742669799999994,12.4502631,0,0.2963668665953544,2,1.5281290352157334e-05
99951,RUS.62_1_895,53.249930199999994,50.4752705,148,0.2963821477689486,2,1.5281290352157337e-05
9824,BUFFER_0873_179,40.4976782,29.485714400000003,18,0.2963964738691931,2,1.5281290352157334e-05
85023,RUS.32.15_1_0,63.425145400000005,54.023987299999995,133,0.2964527467909535,2,1.5281290352157337e-05
118891,UKR.15_1_424,48.1387283,39.677290000000006,144,0.2964567772004889,2,1.5281290352157337e-05
124507,UKR.27_1_208,50.72783895,27.43660945000001,188,0.2964912133251834,2,1.5281290352157337e-05
47125,FRA.9_1_130,49.152529099999995,-0.2950958999999999,66,0.2964924931234717,2,1.5281290352157337e-05
47304,FRA.9_1_219,49.45128091688298,1.0509107475963937,65,0.2965084352078239,2,1.5281290352157337e-05
22651,DEU.2_1_133,48.13574319999999,11.3781574,35,0.2965408694987774,2,1.5281290352157337e-05
54671,HRV_677,43.7667156,15.844704099999998,171,0.2965652429706601,2,1.5281290352157337e-05
32691,ESP.5_1_352,42.38354089999999,-3.7695928,47,0.2965671225550122,2,1.528129035215734e-05
99196,RUS.62_1_125,52.9507261,49.6946241,147,0.2965760505806845,2,1.5281290352157334e-05
88328,RUS.38_1_429,59.9013759,30.73461739999999,130,0.2966092565709046,2,1.5281290352157337e-05
91738,RUS.44_1_1604,56.141978,37.3259933,137,0.2966201253056234,2,4.108472412775596e-07
75204,POL.4_1_516,51.53958975,23.55335034161211,114,0.2966465655562346,2,1.5281290352157334e-05
16679,DEU.10_1_1310,50.8414354,6.3106891,105,0.2966776130806846,2,1.5281290352157337e-05
40053,FRA.13_1_274,44.31884565,4.69750801663179,56,0.296734241289731,2,1.5281290352157337e-05
60709,ITA.6_1_143,44.5778606,11.069741999999998,85,0.2967570484413201,2,2.6392555192763784e-07
25513,DEU.9_1_1095,51.68012650000001,9.902375,38,0.296765701405868,2,1.5281290352157334e-05
53783,GRC_137,40.410683600000006,21.799513308605174,3,0.2967940403422983,2,1.5281290352157337e-05
86101,RUS.34_1_155,44.739523250000005,37.60409317639109,125,0.296800882487775,2,1.5281290352157337e-05
129032,UKR.6_1_820,48.009460999999995,37.18675669999999,192,0.2968051917787285,2,1.5281290352157337e-05
108365,RUS.78.5_1_65,59.17985749999999,37.70314098034366,163,0.2968172944682151,2,5.837990476687195e-11
48082,GBR.1.109_1_2,51.429334649999994,-1.0025488251548618,72,0.2968355325488997,2,1.528129035215734e-05
32414,ESP.5_1_1146,41.61884570000001,-4.774983,41,0.296994238997555,2,1.528129035215734e-05
47291,FRA.9_1_207,49.2772132,1.1977005027962084,65,0.2970029951100245,2,1.5281290352157337e-05
30859,ESP.1_1_897,38.21729814999999,-3.9829300499999993,44,0.2970205493581907,2,1.528129035215734e-05
103390,RUS.68_1_1176,55.56400459999998,51.96350879999999,158,0.2970625993276283,2,1.5281290352157334e-05
102211,RUS.65_1_130,44.6630495,42.0134392,154,0.2970696936124694,2,1.5281290352157337e-05
46051,FRA.7_1_696,51.014099050000006,2.263813183554216,64,0.2970806502139363,2,5.837990476687195e-11
10565,BUFFER_1097_52,40.54399049999999,44.8040269,20,0.2971096118581907,2,1.5281290352157337e-05
57966,ITA.14_1_3,40.5956276,8.587295499999998,84,0.2971188340464546,2,5.935290317965315e-09
38750,FRA.11_1_856,43.21906175,2.3315899490963865,48,0.2971409115220049,2,1.5281290352157334e-05
49734,GBR.1.37_1_14,53.31538979999999,-2.730147,9,0.2971529951100243,2,1.5281290352157337e-05
99184,RUS.62_1_1199,53.24854074999999,50.39482868146268,148,0.2971841190403422,2,1.5281290352157337e-05
3140,BGR_726,42.0833896,24.9630372,5,0.2972520629584352,2,1.5281290352157337e-05
101334,RUS.64_1_206,53.9820217,32.8285174,153,0.2972648265586797,2,1.5281290352157337e-05
52352,GBR.4_1_3324,51.6861949,-4.1807006,76,0.2972674090770171,2,1.5281290352157337e-05
42080,FRA.1_1_416,46.21114669999999,5.246819300000001,60,0.2972704462102689,2,1.5281290352157337e-05
91679,RUS.44_1_1531,55.9480461,37.5788737,137,0.2972720889364303,2,1.5281290352157337e-05
74222,POL.1_1_166,51.15659912972093,17.036301781533567,112,0.2973070216992665,2,1.5281290352157337e-05
53540,GBR.4_1_7079,51.61946630636063,-3.3300099999999997,78,0.2973156173594132,2,1.5281290352157334e-05
57951,ITA.14_1_155,39.16091314999999,9.504429379683508,84,0.2973354332212714,2,5.837990476687195e-11
123272,UKR.24_1_42,48.5846064,29.4966226,179,0.2973672753667481,2,1.5281290352157337e-05
54611,HRV_601,45.47434079999999,16.7916544,171,0.297381471577017,2,1.5281290352157337e-05
34859,EST_443,58.36782742573507,25.58154358527691,51,0.2973826062041564,2,1.5281290352157337e-05
46423,FRA.8_1_31,48.52057475,2.355485469013467,65,0.2973852804095354,2,5.837990476687195e-11
104812,RUS.70_1_301,54.0921342,38.1697061,160,0.2973953354217603,2,1.5281290352157337e-05
94214,RUS.49_1_349,58.6017086,31.2297507,131,0.2974023609413203,2,1.5281290352157337e-05
93852,RUS.47_1_942,55.4295213,42.5415304,140,0.297403480287286,2,1.5281290352157334e-05
49633,GBR.1.36_1_141,51.52467325077519,-0.0108666553646937,70,0.2974095927567236,2,1.5281290352157337e-05
9255,BUFFER_0804_16,71.1337796,22.991015399999995,17,0.2974288584963325,2,1.5281290352157337e-05
120127,UKR.17_1_199,47.8662044,29.47025979999999,184,0.2974474327628361,2,1.5281290352157334e-05
106677,RUS.75_1_317,54.3518698,48.6172805,159,0.297456750458435,2,1.5281290352157334e-05
55767,IRL_1318,52.8564367,-8.9656832,81,0.2974744422371637,2,1.5281290352157337e-05
95273,RUS.55.12_1_11,58.3630793,58.3038533,23,0.2975459543092909,2,1.5281290352157334e-05
34014,ESP.8_1_234,40.507243,-4.073771150331305,50,0.2975548670537897,2,1.528129035215734e-05
32218,ESP.4_1_616,39.0639868,-2.1469135999999995,45,0.2975885696821516,2,1.5281290352157334e-05
87073,RUS.37_1_192,52.2439015,35.5593921,127,0.2975994613386308,2,1.5281290352157334e-05
126369,UKR.5_1_1274,48.5583255,35.872013599999995,193,0.2976054706601466,2,1.5281290352157337e-05
72698,POL.12_1_483,50.45916849999999,19.491739102017934,111,0.2976390548594131,2,1.5281290352157337e-05
40647,FRA.1_1_1305,45.1078491,5.7080308,59,0.2976791297371638,2,5.837990476687195e-11
10391,BUFFER_1097_115,41.54713009999999,45.0543808,20,0.2976839815097799,2,1.5281290352157337e-05
16915,DEU.10_1_1541,51.40955099999999,7.4927667,30,0.2976848410757945,2,1.5281290352157337e-05
