original_id,lat,lon,seamless_mavg_global,seamless_mavg_local,rank_global,rank_local,adap_betweenness_frac_global,adap_betweenness_frac_local,rank_disagreement
NLD_1171,52.371353000000006,4.901084599999998,0.6965079729604593,0.7050386847195359,445.0,455.0,0.7056653393832762,0.6778916827852999,False
NLD_1172,52.3789689,4.9013387,0.0314176405222705,0.0288829787234042,2.0,1.0,0.2871276970089823,0.1005802707930367,False
NLD_1176,52.385890200000006,4.7472349000000005,0.6687398277618298,0.6713742746615087,404.0,394.0,0.7025900546346884,0.7088974854932302,False
NLD_1178,52.3890363,4.838763200000001,0.0334232428928604,0.0351760154738878,3.0,3.0,0.1539616631169552,0.0328820116054158,False
NLD_1179,52.39510310000001,4.850595800000001,0.689301981664969,0.7019497098646036,436.0,446.0,0.7996790443559588,0.6854158607350097,False
NLD_1180,52.43822839999999,4.8136341,0.4617511251041764,0.4856421663442939,191.0,203.0,0.4398214649504584,0.1702707930367505,False
NLD_1182,52.457826300000015,4.8056834,0.5193130104639319,0.5222901353965184,280.0,267.0,0.5928243355866284,0.6919922630560928,False
NLD_1183,52.4692791,4.8051566,0.5173423279933328,0.5272127659574466,278.0,277.0,0.6282303917029355,0.4711411992263056,False
NLD_1184,52.4890911,4.792942200000001,0.423946652467821,0.4340444874274661,139.0,131.0,0.6203007685896842,0.4840812379110251,False
NLD_1186,52.494971500000005,4.7552167,0.684857912769701,0.6857456479690522,432.0,416.0,0.7175599592554867,0.7096711798839458,False
NLD_1187,52.6702428,4.823681700000001,0.1215648115566256,0.1466112185686653,43.0,36.0,0.3678848041485322,0.1655125725338491,False
NLD_1188,52.678044799999995,4.909218299999998,0.7546901379757385,0.7563075435203095,513.0,509.0,0.6940633391980738,0.7185880077369439,False
NLD_1189,52.4567546,4.8191929,0.5113549310121307,0.5181943907156674,271.0,254.0,0.5458062783591073,0.6927852998065764,False
NLD_1190,52.3850483,4.8836242,0.3850359940735253,0.4099912959381044,107.0,106.0,0.5099977775719975,0.5166344294003868,False
NLD_1198,52.238322800000006,6.1007009,0.6304866006111678,0.6307543520309478,382.0,367.0,0.6830130567645153,0.6798839458413927,False
NLD_1201,52.25701969999999,6.1612717,0.0461363737383091,0.050284332688588,6.0,6.0,0.1448926752477081,0.0038684719535783,False
NLD_1205,52.2840605,6.421178,0.3691523566996945,0.37334332688588,102.0,97.0,0.6313512362255764,0.4906963249516441,False
NLD_1208,52.3354376,6.1134201,0.7119502824335587,0.7222466150870406,484.0,488.0,0.5664620798222058,0.6895938104448742,False
NLD_121,51.957133299999995,6.213717900000002,0.4163072506713584,0.4701876208897485,130.0,191.0,0.6696677470136123,0.53678916827853,False
NLD_1211,52.39099589999999,6.141045299999999,0.3753297990554681,0.384468085106383,104.0,100.0,0.5043287341420502,0.4575822050290135,False
NLD_1212,52.3914016,6.278230000000001,0.4515102509491619,0.4611837524177949,176.0,174.0,0.5760435225483841,0.72036750483559,False
NLD_1213,52.4269576,6.222031000000001,0.555366839522178,0.5647369439071566,327.0,334.0,0.5921889063802205,0.5288201160541586,False
NLD_1214,52.5046802,6.0913417,0.0314083896657097,0.0309226305609284,1.0,2.0,0.1690441707565515,0.0386847195357833,False
NLD_1215,52.5097013,6.417220599999999,0.6089840633391981,0.608147001934236,351.0,345.0,0.4465902398370219,0.6989941972920696,False
NLD_1216,52.6918925,6.1980483,0.0731066117233077,0.0824284332688588,16.0,17.0,0.1035942216871932,0.0212765957446808,False
NLD_1223,52.250350000000005,6.215678900000001,0.7216498657283082,0.7244893617021276,497.0,492.0,0.7879044355958885,0.6858220502901354,False
NLD_1226,52.2614701,6.7961412999999995,0.5163042874340216,0.5302630560928434,275.0,283.0,0.509218260950088,0.6912379110251451,False
NLD_1230,52.357705200000005,6.654414299999998,0.2816687841466802,0.3103249516441005,76.0,77.0,0.3045900546346884,0.0657640232108317,False
NLD_1233,52.6630362,6.7360253,0.5641623668858228,0.5353539651837524,334.0,296.0,0.6801822390962127,0.6952030947775629,False
NLD_1234,53.1039225,6.884978500000001,0.6588091397351608,0.6702050290135395,398.0,393.0,0.7588056301509399,0.7281044487427466,False
NLD_1235,53.1391673,7.035781099999999,0.4294777849800907,0.3353201160541586,147.0,81.0,0.407595518103528,0.357311411992263,False
NLD_1236,53.15970560000001,6.771004400000001,0.710707176590425,0.7116760154738878,478.0,462.0,0.429616075562552,0.6638104448742747,False
NLD_1239,53.16081019999999,6.7405089,0.3526064080007409,0.3678355899419728,95.0,96.0,0.4174695805167145,0.5698452611218568,False
NLD_124,52.08511849999999,5.624300499999999,0.436223455875544,0.4478646034816247,153.0,153.0,0.5472730808408186,0.4918568665377176,False
