node,adap_degree,betweenness,degree,random,seamless_mavg
97,0.482526530234281,0.26059820353736457,0.2130567645152329,0.533990554680989,0.5030568848967496
98,0.5523163255857024,0.24657838688767478,0.21307528474858783,0.5395412538197981,0.5057268543383646
99,0.5061248263728123,0.24392999351791833,0.21309380498194277,0.5027280303731827,0.5057444300398186
100,0.5101863135475507,0.24154088341513102,0.21311232521529772,0.5092538197981294,0.5013960459301787
101,0.5208817483100286,0.23918881377905363,0.21313084544865266,0.43907306232058524,0.498367302528012
102,0.5040103713306788,0.23700342624317067,0.2131493656820076,0.4383700342624317,0.49960438003518837
103,0.42560237058986944,0.20025928326696918,0.21316788591536254,0.49535012501157516,0.42725682933604964
104,0.5151214001296416,0.1771460320400037,0.21318640614871748,0.5212710436151495,0.503721733493842
105,0.5432436336697842,0.17694230947309936,0.21320492638207242,0.45582368737846096,0.5080571256597832
106,0.5134317992406704,0.23242892860450043,0.21322344661542736,0.5211554773590148,0.4950483841096397
107,0.5336070006482082,0.17651634410593572,0.2132419668487823,0.4685933882766923,0.5017636818223912
108,0.4868358181313085,0.23005833873506806,0.21326048708213724,0.49266487637744233,0.5001732845633855
109,0.5066420964904158,0.22770626909899064,0.07924807852578943,0.5244626354292065,0.5073108158162793
110,0.5203500324104083,0.23455875544031854,0.21327900731549218,0.49320011112140016,0.5007243170663951
111,0.47561848319288824,0.19703676266320955,0.21329752754884712,0.4893323455875544,0.48623334568015564
112,0.5364168904528197,0.17625706083896658,0.21331604778220206,0.4578475784794888,0.5106289749050837
113,0.4918379479581443,0.1766459857394203,0.213334568015557,0.48183739235114365,0.5022549958329475
114,0.6329304565237522,0.17501620520418557,0.21335308824891194,0.49073877210852856,0.6422935456986758
115,0.16758125752384478,0.14419853690156495,0.030984350402815077,0.4669376794147606,0.19244903231780722
116,0.4985732012223354,0.19570330586165385,0.21337160848226688,0.4883415131030651,0.5119092971571442
117,0.266481711269562,0.4813593851282526,0.07926659875914437,0.4689517547921104,0.22100232428928607
